,nom_com,nom_station,code_station,typologie,nom_poll,valeur,date_debut,influence
0,MONTPELLIER,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,O3,69.3,2023-08-07,Fond
1,MONTPELLIER,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,O3,66.7,2023-08-08,Fond
2,MONTPELLIER,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,O3,65.4,2023-08-09,Fond
3,MONTPELLIER,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,O3,72.8,2023-08-10,Fond
4,MONTPELLIER,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,O3,54.0,2023-08-11,Fond
5,MONTPELLIER,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,O3,65.2,2023-08-12,Fond
6,MONTPELLIER,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,O3,56.6,2023-08-13,Fond
7,MONTPELLIER,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,O3,47.0,2023-08-14,Fond
8,MONTPELLIER,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,O3,58.3,2023-08-15,Fond
9,MONTPELLIER,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,O3,56.7,2023-08-16,Fond
10,MONTPELLIER,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,O3,51.6,2023-08-17,Fond
11,MONTPELLIER,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,O3,67.5,2023-08-18,Fond
12,MONTPELLIER,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,O3,73.5,2023-08-19,Fond
13,MONTPELLIER,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,O3,71.0,2023-08-20,Fond
14,MONTPELLIER,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,O3,77.9,2023-08-21,Fond
15,TOULOUSE,Toulouse-Jacquier Urbain,FR50004,Urbaine,PM10,8.0,2023-09-24,Fond
16,MONTPELLIER,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,O3,95.5,2023-08-23,Fond
17,MONTPELLIER,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,O3,78.8,2023-08-24,Fond
18,MONTPELLIER,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,O3,65.2,2023-08-25,Fond
19,RODEZ,Rodez - Camonil Urbain,FR50815,Urbaine,PM10,6.3,2023-09-24,Fond
20,MONTPELLIER,Montpellier - Pompignane Trafic,FR50203,Urbaine,PM10,7.1,2023-09-24,Trafic
21,MONTPELLIER,Montpellier Liberte Trafic,FR50225,Urbaine,PM10,11.3,2023-09-24,Trafic
22,AUCH,AUCH ST EXUPERY,FR50833,Urbaine,PM10,7.5,2023-09-24,Fond
23,AGDE,Agathois-Piscénois - Périurbain,FR50210,Périurbaine,PM10,5.4,2023-09-24,Fond
24,RODEZ,Rodez - Camonil Urbain,FR50815,Urbaine,NOX,,2023-09-24,Fond
25,ALBI,Albi Urbain,FR50026,Urbaine,PM10,19.6,2023-10-02,Fond
26,TARBES,Tarbes-Dupuy Urbain,FR50052,Urbaine,NOX,9.8,2023-09-24,Fond
27,TARBES,Tarbes-Dupuy Urbain,FR50052,Urbaine,NOX,19.1,2023-09-25,Fond
28,TOULOUSE,Toulouse-SETMI Eisenhower Industriel,FR50039,Urbaine,PM10,9.6,2023-09-24,Industrielle
29,BLAGNAC,Blagnac Aéroport Trafic ,FR50044,Périurbaine,PM10,9.3,2023-09-24,Trafic
30,TARBES,Tarbes-Dupuy Urbain,FR50052,Urbaine,PM10,4.4,2023-09-24,Fond
31,PEYRUSSE-VIEILLE,Peyrusse Vieille Rural,FR50020,Rurale Nationale,PM10,5.6,2023-09-24,Fond
32,TOULOUSE,Toulouse - Rte Albi Trafic,FR50054,Urbaine,PM10,8.9,2023-09-24,Trafic
33,PEYRUSSE-VIEILLE,Peyrusse Vieille Rural,FR50020,Rurale Nationale,PM10,13.7,2023-10-02,Fond
34,TOULOUSE,Toulouse - Rte Albi Trafic,FR50054,Urbaine,PM10,,2023-10-02,Trafic
35,TOULOUSE,Toulouse - Port de l Embouchure Trafic,FR50821,Urbaine,PM10,14.4,2023-09-24,Trafic
36,MONTPELLIER,Montpellier - Pompignane Trafic,FR50203,Urbaine,PM10,13.5,2023-09-25,Trafic
37,PERPIGNAN,Perpignan Centre - Urbain,FR50220,Urbaine,PM10,6.7,2023-09-24,Fond
38,PERPIGNAN,Perpignan Centre - Urbain,FR50220,Urbaine,PM10,12.0,2023-09-25,Fond
39,BEZIERS,Beziers Leclerc trafic,FR50226,Urbaine,PM10,6.9,2023-09-24,Trafic
40,TOULOUSE,Toulouse-Berthelot Urbain,FR50030,Urbaine,PM10,8.2,2023-09-24,Fond
41,AUCH,AUCH ST EXUPERY,FR50833,Urbaine,PM10,9.8,2023-09-25,Fond
42,AGDE,Agathois-Piscénois - Périurbain,FR50210,Périurbaine,PM10,6.9,2023-09-25,Fond
43,CASTRES,Castres-Travet Urbain,FR50053,Urbaine,NOX,5.6,2023-09-24,Fond
44,CASTRES,Castres-Travet Urbain,FR50053,Urbaine,NOX,9.9,2023-09-25,Fond
45,TOULOUSE,Toulouse - Rte Albi Trafic,FR50054,Urbaine,NOX,69.4,2023-09-24,Trafic
46,RODEZ,Rodez - Camonil Urbain,FR50815,Urbaine,NOX,,2023-09-25,Fond
47,MONTPELLIER,Montpellier - Prés d Arènes Urbain,FR50200,Urbaine,NOX,11.1,2023-09-24,Fond
48,MONTPELLIER,Montpellier - Chaptal Urbain,FR50201,Urbaine,NOX,24.3,2023-09-24,Fond
49,CASTRES,Castres-Travet Urbain,FR50053,Urbaine,PM10,14.0,2023-10-02,Fond
50,LOURDES,Lourdes-Lapaca Urbain,FR50042,Urbaine,PM10,13.1,2023-10-02,Fond
51,NIMES,Nîmes - Planas - Trafic,FR50212,Urbaine,PM10,8.9,2023-09-24,Trafic
52,MONTAUBAN,Montauban - Ramierou Urbain,FR50060,Urbaine,PM10,7.8,2023-09-24,Fond
53,NIMES,Nîmes Sud - Urbain,FR50211,Urbaine,PM10,5.9,2023-09-24,Fond
54,NIMES,Nîmes Sud - Urbain,FR50211,Urbaine,PM10,9.0,2023-09-25,Fond
55,SAINT-GIRONS,St-Girons Urbain,FR50826,Urbaine,PM10,4.9,2023-09-24,Fond
56,SAINT-GIRONS,St-Girons Urbain,FR50826,Urbaine,PM10,5.8,2023-09-25,Fond
57,ARGELES-GAZOST,Argeles-Gazost,FR50813,Urbaine,PM10,4.1,2023-09-24,Fond
